msan_code,msan_hostname,subscribers,average_critical_time(min),average_warning_time(min),reason,latitude,longitude,noor_sub,etisilat_sub,orange_sub,voda_sub,total_voice_sub,bitstream_data_sub,we_data_sub,downstream_list,isp_list,bitstream_count
07-4-381-905,DRBNGM-G01Z-SHR-EG,3452,780,820,msan,0.00000000,0.00000000,0.00,400.00,152.00,168.00,3452.00,720.00,2658.00,-,-,-
02-3-21-850,TEBIN-G01Z-C-EG,3705,180,385,msan,29.75435000,31.28422000,-,-,-,-,-,-,-,-,-,-
09-3-18-52,KRDWCB32-M01H-BH-EG,1213,241,498,msan,31.16735000,30.06993000,0.00,13.00,23.00,40.00,951.00,76.00,846.00,-,-,-
10-1-09-01,MGHAGHC1-M01H-MN-EG,229,541,598,msan,28.63157000,30.82508000,0.00,2.00,27.00,30.00,229.00,59.00,164.00,-,-,-
09-2-13-81,HAMOUL81-M01H-KFS-EG,308,101,181,msan,31.29475000,31.16044000,0.00,5.00,0.00,12.00,308.00,17.00,272.00,-,-,-
09-3-282-20,JNKLIS20-M01Z-BH-EG,286,0,80,msan,30.82109000,30.11333000,1.00,5.00,3.00,8.00,286.00,17.00,255.00,-,-,-
02-3-21-06,TBNCB18-M01H-C-EG,1324,802,861,msan,29.81480000,31.30217000,-,-,-,-,-,-,-,-,-,-
07-2-400-12,MTSALS12-M01H-DK-EG,1978,81,198,msan,31.16708000,31.80337000,0.00,102.00,5.00,25.00,1022.00,132.00,815.00,5120,TECorporat,1
08-1-06-851,MAHALA2-G02Z-GH-EG,765,120,202,msan,31.14957000,30.96000000,0.00,12.00,38.00,26.00,765.00,76.00,657.00,-,-,-
02-1-01-511,SHLQNC11-M01H-C-EG,1440,640,721,msan,30.18881000,31.16490000,0.00,45.00,32.00,90.00,960.00,167.00,746.00,-,-,-
13-2-107-850,MASAED-G01H-SIN-EG,2053,36,181,msan,31.11773000,33.72219000,0.00,18.00,49.00,14.00,2053.00,81.00,1898.00,1024,TEData,1
08-1-267-04,KFSHSLCB-M01H-GH-EG,1743,81,161,msan,30.73689000,30.97362000,0.00,18.00,210.00,46.00,895.00,274.00,552.00,256,Vodafon,1
09-2-17-850,MOTOBS-G02H-KFS-EG,2371,0,80,msan,30.53213750,31.32408690,0.00,15.00,383.00,69.00,2371.00,467.00,1834.00,-,-,-
01-2-08-951,HLPLS-G04H-C-EG,1688,379,478,msan,30.12790760,31.31219280,0.00,25.00,33.00,115.00,1688.00,173.00,1483.00,-,-,-
02-3-28-134,MAD2C134-M01H-C-EG,1948,680,740,msan,29.97347000,31.33190000,1.00,54.00,43.00,127.00,1023.00,225.00,742.00,-,-,-
09-2-08-128,KAFSC128-M01H-KFS-EG,812,199,362,msan,31.08498000,30.94877000,0.00,16.00,17.00,36.00,812.00,69.00,705.00,-,-,-
04-3-24-39,MRUTCB39-M01H-C-EG,937,255,579,msan,29.98010000,31.16154000,-,-,-,-,-,-,-,-,-,-
08-1-15-70,KAFREC70-M01Z-GH-EG,940,181,220,msan,30.81194000,30.83751000,3.00,41.00,50.00,65.00,940.00,159.00,721.00,4096,TEData,1
01-3-15-20,BRNCMD-G01A-C-EG,1533,440,560,msan,29.98358000,31.33884000,0.00,3.00,5.00,21.00,1533.00,29.00,1406.00,-,-,-
02-3-62-55,HDYKHC55-M01N-C-EG,1126,458,497,msan,29.87958000,31.28990000,-,-,-,-,-,-,-,-,-,-
07-2-292-01,HOUTACB1-M01H-DK-EG,1390,0,59,msan,31.15772000,31.97237000,0.00,42.00,29.00,70.00,1011.00,141.00,844.00,-,-,-
04-4-33-867,SUKGMLA-G17H-GZ-EG,1241,479,717,msan,29.93110000,30.98996000,-,-,-,-,-,-,-,-,-,-
10-2-39-951,SODS-G02H-BNS-EG,1144,120,341,msan,28.90189000,30.94084000,0.00,10.00,14.00,37.00,1144.00,61.00,1044.00,-,-,-
05-1-04-22,HADRAC22-M01H-ALX-EG,1771,41,100,msan,31.19543000,29.93304000,1.00,26.00,15.00,90.00,791.00,132.00,575.00,4096; 4096,TEData; TEData,2
08-1-248-07,METHBEB7-M01Z-GH-EG,1250,83,267,msan,30.88192000,31.21311000,0.00,79.00,63.00,87.00,1021.00,229.00,688.00,-,-,-
02-1-02-948,SHBRMSR-G01Z-C-EG,1018,196,357,msan,0.00000000,0.00000000,0.00,0.00,0.00,0.00,1018.00,0.00,1015.00,-,-,-
01-2-06-02,KOBAC62-M01H-C-EG,1261,200,280,msan,30.09486000,31.28394000,0.00,12.00,3.00,21.00,245.00,36.00,131.00,-,-,-
