ID,DOLLAR_ID,PE_INTERFACE,PE_IP,PE_HOSTNAME,DISTRICTID,EXCHANGENAME,VENDORID,NOOR_SUB,ETISILAT_SUB,ORANGE_SUB,VODA_SUB,BITSTREAM_DATA_SUB,WE_DATA_SUB,TOTAL_VOICE_SUB,REGIONID,SECTOR,LAT,LONG,HOSTNAME,MSANCODE,SECTOR_ARABIC,REGION_NAME,SECTORID,SHELF,TEDATAIP,TE_IP,,NODENAME,ROWVERSION,HASERRORS,INSERTION,CAPACITY,,VIC
2311409,465342324,GE-0/1/9,10.45.4.253,NBAROUH-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,NABAROUH...DK,HUAWEI_GPON,0,30,5,15,50,225,290,46,7,31.09567,31.29359,NBROUH13-M01H-DK-EG,07-2-17-13,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.92.234,10.238.134.234,,07-2-17-13_M01H_NBAROUH_R02J,2024-05-22-04.09.16.000000,0,2026-06-01-06.18.34.632912,,,NO
2311410,465342325,GE-0/0/7,10.45.6.225,KOSHEH-R01J-SHG-EG,SOHAG PHONE AREA,KOSHEH...SHG,NOKIA_GPON,0,5,1,5,11,187,211,31,11,26.22267,32.10806,KOSHEHC5-M01N-SHG-EG,11-1-127-05,قطاع وسط الصعيد,منطقة تليفونات سوهاج,EGYPT - MIDDLE UPPER,1,10.41.20.234,10.238.205.90,,11-1-127-05_M01N_KOSHEH_R01J,2026-06-01-05.07.52.000000,0,2026-06-01-06.18.34.632912,,,NO
2311411,465342326,AE27,10.45.24.60,6OCT1-R10J-GZ-EG,"THE THIRD REGION, OCTOBER",6OCTOBER1...GZ,HUAWEI_GPON,0,8,4,15,27,242,299,49,16,29.96485,30.96101,OCT1C116-M02H-GZ-EG,04-4-26-116,قطاع اكتوبر,المنطقة الثانية اكتوبر,EGYPT - OCTOBER,2,10.41.10.187,10.237.34.251,,04-4-26-116_M02H_OCTOBER1_R03J,2026-05-14-13.28.31.000000,0,2026-06-01-06.18.34.632912,,,NO
2311412,465342327,AE27,10.45.24.60,6OCT1-R10J-GZ-EG,"THE THIRD REGION, OCTOBER",6OCTOBER1...GZ,HUAWEI_GPON,0,22,6,66,94,498,648,49,16,29.96485,30.96101,OCT1C116-M01H-GZ-EG,04-4-26-116,قطاع اكتوبر,المنطقة الثانية اكتوبر,EGYPT - OCTOBER,1,10.41.10.186,10.237.34.250,,04-4-26-116_M01H_OCTOBER1_R03J,2026-05-14-13.30.27.000000,0,2026-06-01-06.18.34.632912,,,NO
2311413,465342328,GE-1/3/5,10.45.4.133,6OCT1-R03J-GZ-EG,"THE THIRD REGION, OCTOBER",6OCTOBER1...GZ,HUAWEI_GPON,0,0,0,4,4,5,12,49,16,29.96944,30.9716,OCT1C118-M01H-GZ-EG,04-4-26-118,قطاع اكتوبر,المنطقة الثانية اكتوبر,EGYPT - OCTOBER,1,10.41.10.202,10.237.32.10,,04-4-26-118_M01H_OCTOBER1_R03J,2025-11-16-11.11.03.000000,0,2026-06-01-06.18.34.632912,,,NO
2311414,465342329,GE-1/3/5,10.45.4.133,6OCT1-R03J-GZ-EG,"THE THIRD REGION, OCTOBER",6OCTOBER1...GZ,HUAWEI_GPON,0,0,0,0,0,0,0,49,16,29.96944,30.9716,OCT1C118-M02H-GZ-EG,04-4-26-118,قطاع اكتوبر,المنطقة الثانية اكتوبر,EGYPT - OCTOBER,2,10.41.10.203,10.237.32.11,,04-4-26-118_M02H_OCTOBER1_R03J,2025-11-20-14.14.35.000000,0,2026-06-01-06.18.34.632912,,,NO
2311415,465342330,GE-0/1/0,10.45.9.126,AHYWST-R01J-SHG-EG,SOHAG PHONE AREA,AHAYWAHWEST...SHG,NOKIA_GPON,0,0,0,9,9,257,270,31,11,26.44027,31.79001,AHYWSTC5-M01N-SHG-EG,11-1-80-05,قطاع وسط الصعيد,منطقة تليفونات سوهاج,EGYPT - MIDDLE UPPER,1,10.41.21.58,10.238.206.2,,11-1-80-05_M01N_AHYWST_R01J,2026-06-01-03.15.47.000000,0,2026-06-01-06.18.34.632912,,,NO
2311416,465342331,GE-0/2/6,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,20,5,23,48,212,276,51,8,30.70432,31.24353,ZEFTHC16-M01H-GH-EG,08-1-18-16,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.170,10.239.236.186,,08-1-18-16_M01H_ZEFTAH_R02J,2026-01-01-10.37.39.000000,0,2026-06-01-06.18.34.632912,,,NO
2311417,465342332,GE-1/0/4,10.45.4.74,BNISUF-R05J-BNS-EG,BENI SUEF PHONE AREA,BENISUEF...BNS,HUAWEI_GPON,1,11,10,74,96,611,763,30,10,29.08274,31.08209,BENISF66-M01H-BNS-EG,10-2-12-66,قطاع شمال الصعيد,منطقة تليفونات بنى سويف,EGYPT - NORTH UPPER,1,10.41.93.186,10.237.183.138,,10-2-12-66_M01H_BNISUF_R05J,2025-11-26-09.48.46.000000,0,2026-06-01-06.18.34.632912,,,NO
2311418,465342333,AE7,10.45.21.43,BNISUF-R07J-BNS-EG,BENI SUEF PHONE AREA,BENISUEF...BNS,HUAWEI_GPON,0,3,9,21,33,313,366,30,10,29.0829,31.08789,BENISF68-M01H-BNS-EG,10-2-12-68,قطاع شمال الصعيد,منطقة تليفونات بنى سويف,EGYPT - NORTH UPPER,1,10.41.93.194,10.237.183.154,,10-2-12-68_M01H_BNISUF_R05J,2025-09-22-10.44.34.000000,0,2026-06-01-06.18.34.632912,,,NO
